instancia,algoritmo,run,seed,custo,custo_objetivo,n_veiculos,eh_valida,n_violacoes,clientes_faltando,frota_excedida,n_violacoes_jt,total_atraso_jt,tempo
grande,Tabu,8,50,759085.9000000001,759085.9000000001,18,1,0,0,0,0,0,36.54593539237976
grande,Tabu,9,51,812773.8999999999,812773.8999999999,18,1,0,0,0,0,0,29.387782335281372
grande,Tabu,10,52,780201.4,780201.4,18,1,0,0,0,0,0,36.480568647384644
grande,Tabu,11,53,791686.3000000002,791686.3000000002,18,1,0,0,0,0,0,37.099285364151
grande,Tabu,12,54,764540.0000000001,764540.0000000001,18,1,0,0,0,0,0,37.90896391868591
grande,Tabu,13,55,790371.9000000001,790371.9000000001,18,1,0,0,0,0,0,24.985028743743896
grande,Tabu,14,56,784864.8999999999,784864.8999999999,18,1,0,0,0,0,0,36.86540412902832
grande,Tabu,15,57,756097.6000000001,756097.6000000001,18,1,0,0,0,0,0,36.76634120941162
grande,Tabu,16,58,806564.7999999999,806564.7999999999,18,1,0,0,0,0,0,37.426125288009644
grande,Tabu,17,59,756190.7000000002,756190.7000000002,18,1,0,0,0,0,0,36.17851638793945
grande,Tabu,18,60,774696.4000000001,774696.4000000001,18,1,0,0,0,0,0,36.72861886024475
grande,Tabu,19,61,755906.0000000001,755906.0000000001,18,1,0,0,0,0,0,28.972172498703003
grande,Tabu,20,62,760074.6,760074.6,18,1,0,0,0,0,0,36.426873207092285
grande,Tabu,21,63,796111.8999999999,796111.8999999999,18,1,0,0,0,0,0,27.639386653900146
grande,Tabu,22,64,751804.6000000001,751804.6000000001,18,1,0,0,0,0,0,38.64180374145508
grande,Tabu,23,65,741767.2,741767.2,18,1,0,0,0,0,0,37.95060348510742
grande,Tabu,24,66,761489.7000000001,761489.7000000001,18,1,0,0,0,0,0,36.72381520271301
grande,Tabu,25,67,830990.8,830990.8,18,1,0,0,0,0,0,24.589539766311646
grande,Tabu,26,68,744527.5,744527.5,18,1,0,0,0,0,0,36.475324869155884
grande,Tabu,27,69,765271.6,765271.6,18,1,0,0,0,0,0,36.343722105026245
grande,Tabu,28,70,760634.0,760634.0,18,1,0,0,0,0,0,37.21017026901245
grande,Tabu,29,71,781582.8999999999,781582.8999999999,18,1,0,0,0,0,0,36.55567479133606
grande,PSO,0,42,967637.0,967637.0,23,1,0,0,0,0,0,3.991187572479248
grande,PSO,1,43,988053.8,988053.8,25,1,0,0,0,0,0,4.021344184875488
grande,PSO,2,44,1043433.5999999997,1043433.5999999997,25,1,0,0,0,0,0,3.722914218902588
grande,PSO,3,45,966383.3999999999,966383.3999999999,25,1,0,0,0,0,0,3.601970672607422
grande,PSO,4,46,977131.7000000001,977131.7000000001,22,1,0,0,0,0,0,3.9247524738311768
grande,PSO,5,47,994704.3,994704.3,23,1,0,0,0,0,0,3.6163244247436523
grande,PSO,6,48,1007873.8999999999,1007873.8999999999,24,1,0,0,0,0,0,3.5854616165161133
grande,PSO,7,49,1006112.7999999999,1006112.7999999999,23,1,0,0,0,0,0,3.759507179260254
grande,PSO,8,50,984281.7,984281.7,25,1,0,0,0,0,0,3.7997469902038574
grande,PSO,9,51,972613.4,972613.4,23,1,0,0,0,0,0,4.1614670753479
grande,PSO,10,52,1034097.5999999997,1034097.5999999997,26,1,0,0,0,0,0,3.5991404056549072
grande,PSO,11,53,977304.8000000002,977304.8000000002,26,1,0,0,0,0,0,3.74582576751709
grande,PSO,12,54,1013064.8000000002,1013064.8000000002,22,1,0,0,0,0,0,3.947920083999634
grande,PSO,13,55,1009335.4,1009335.4,23,1,0,0,0,0,0,3.6356656551361084
grande,PSO,14,56,955057.4999999999,955057.4999999999,23,1,0,0,0,0,0,3.649343490600586
grande,PSO,15,57,974354.9999999999,974354.9999999999,23,1,0,0,0,0,0,4.164645433425903
grande,PSO,16,58,998168.6000000002,998168.6000000002,26,1,0,0,0,0,0,3.4845709800720215
grande,PSO,17,59,955318.9,955318.9,23,1,0,0,0,0,0,4.059669494628906
grande,PSO,18,60,1059094.4,1059094.4,23,1,0,0,0,0,0,3.668123245239258
grande,PSO,19,61,981349.9000000001,981349.9000000001,24,1,0,0,0,0,0,4.551328897476196
grande,PSO,20,62,1004223.5000000001,1004223.5000000001,23,1,0,0,0,0,0,4.351022958755493
grande,PSO,21,63,1079739.2,1079739.2,25,1,0,0,0,0,0,3.707810640335083
grande,PSO,22,64,1018229.4,1018229.4,24,1,0,0,0,0,0,4.13926100730896
grande,PSO,23,65,946838.4000000001,946838.4000000001,21,1,0,0,0,0,0,3.960549831390381
grande,PSO,24,66,1019254.9000000004,1019254.9000000004,25,1,0,0,0,0,0,3.4234025478363037
grande,PSO,25,67,988894.9,988894.9,22,1,0,0,0,0,0,4.083388090133667
grande,PSO,26,68,986507.5000000002,986507.5000000002,25,1,0,0,0,0,0,3.8146655559539795
grande,PSO,27,69,985148.3999999998,985148.3999999998,23,1,0,0,0,0,0,3.9471256732940674
grande,PSO,28,70,996978.1999999998,996978.1999999998,23,1,0,0,0,0,0,4.3619301319122314
grande,PSO,29,71,981517.5000000001,981517.5000000001,22,1,0,0,0,0,0,3.619950771331787
